data,artista_podcast,horas
01/09/2021,AC/DC,0.0008294444444444445
01/09/2021,The Rolling Stones,0.0004502777777777778
01/09/2021,AC/DC,0.0006161111111111111
01/09/2021,The Beatles,0.0008058333333333333
01/09/2021,The Beatles,0.0008294444444444445
01/09/2021,Led Zeppelin,0.0010191666666666667
01/09/2021,Eric Clapton,0.0006161111111111111
01/09/2021,Aerosmith,0.0007819444444444445
01/09/2021,AC/DC,0.0006872222222222222
01/09/2021,Aerosmith,0.0007583333333333333
01/09/2021,AC/DC,0.000545
01/09/2021,Queen,0.000568888888888889
01/09/2021,Aerosmith,0.002844444444444444
01/09/2021,The Beatles,0.0009955555555555555
01/09/2021,The Rolling Stones,0.0008058333333333333
01/09/2021,AC/DC,0.0006636111111111111
01/09/2021,The Beatles,0.0009952777777777779
01/09/2021,Led Zeppelin,0.0005213888888888889
01/09/2021,The Beatles,0.001208611111111111
01/09/2021,The Beatles,0.00047388888888888893
01/09/2021,Queen,0.0007822222222222222
01/09/2021,The Rolling Stones,0.0008769444444444444
01/09/2021,Black Sabbath,0.0007583333333333333
01/09/2021,The Beatles,0.0010427777777777779
01/09/2021,The Rolling Stones,0.0008058333333333333
01/09/2021,The Rolling Stones,0.0011849999999999999
01/09/2021,David Bowie,0.0679111111111111
01/09/2021,AC/DC,0.0005924999999999999
01/09/2021,Queen,0.0007583333333333333
01/09/2021,AC/DC,0.0012799999999999999
01/09/2021,The Beatles,0.000568888888888889
01/09/2021,The Beatles,0.0004502777777777778
01/09/2021,AC/DC,0.0006397222222222222
01/09/2021,Led Zeppelin,0.0007347222222222222
01/09/2021,AC/DC,0.0005213888888888889
01/09/2021,Black Sabbath,0.0007347222222222222
01/09/2021,The Beatles,0.0005924999999999999
01/09/2021,David Bowie,0.00042638888888888886
01/09/2021,The Rolling Stones,0.0004977777777777778
01/09/2021,AC/DC,0.0007583333333333333
01/09/2021,AC/DC,0.000568888888888889
01/09/2021,The Beatles,0.0004502777777777778
01/09/2021,AC/DC,0.0006161111111111111
01/09/2021,Queen,0.0005924999999999999
01/09/2021,Led Zeppelin,0.000545
01/09/2021,Aerosmith,0.0008294444444444445
01/09/2021,The Who,0.0016116666666666666
01/09/2021,Black Sabbath,0.006233888888888889
01/09/2021,AC/DC,0.0009480555555555556
01/09/2021,Aerosmith,0.000568888888888889
01/09/2021,AC/DC,0.0005924999999999999
01/09/2021,The Beatles,0.0006636111111111111
01/09/2021,Huey Lewis & The News,0.0015405555555555556
01/09/2021,Huey Lewis & The News,0.00023694444444444446
01/09/2021,The Beatles,0.0006161111111111111
01/09/2021,David Bowie,0.026974722222222223
01/09/2021,Huey Lewis & The News,0.0010902777777777777
01/09/2021,AC/DC,0.0005924999999999999
01/09/2021,Led Zeppelin,0.0006161111111111111
01/09/2021,Black Sabbath,0.0008058333333333333
01/09/2021,AC/DC,0.0008058333333333333
01/09/2021,AC/DC,0.0007347222222222222
01/09/2021,The Beatles,0.0004502777777777778
01/09/2021,The Beatles,0.0006636111111111111
01/09/2021,The Rolling Stones,0.001351111111111111
01/09/2021,Aerosmith,0.0006397222222222222
01/09/2021,Aerosmith,0.0005213888888888889
01/09/2021,Aerosmith,0.0005213888888888889
01/09/2021,AC/DC,0.0017538888888888888
01/09/2021,The Who,0.0006636111111111111
01/09/2021,Aerosmith,0.0009480555555555556
01/09/2021,AC/DC,0.0005213888888888889
01/09/2021,The Rolling Stones,0.0006161111111111111
01/09/2021,AC/DC,0.0009480555555555556
01/09/2021,AC/DC,0.000711111111111111
01/09/2021,AC/DC,0.000545
01/09/2021,David Bowie,0.0015169444444444445
01/09/2021,Lynyrd Skynyrd,0.0006636111111111111
01/09/2021,Queen,0.0009952777777777779
01/09/2021,Led Zeppelin,0.0009241666666666667
01/09/2021,Arctic Monkeys,0.0009480555555555556
01/09/2021,AC/DC,0.002109444444444444
01/09/2021,Aerosmith,0.00042666666666666667
01/09/2021,Arctic Monkeys,0.05108138888888889
01/09/2021,AC/DC,0.0004502777777777778
01/09/2021,Arctic Monkeys,0.0008769444444444444
01/09/2021,Aerosmith,0.00044444444444444447
01/09/2021,Queen,0.0004975
01/09/2021,The Rolling Stones,0.00046805555555555554
01/09/2021,The Beatles,0.00042666666666666667
01/09/2021,AC/DC,0.0014577777777777777
01/09/2021,Scorpions,0.0009244444444444444
01/09/2021,Aerosmith,0.0005924999999999999
01/09/2021,The Beatles,0.0006399999999999999
01/09/2021,Eric Clapton,0.0006636111111111111
01/09/2021,The Beatles,0.0006044444444444445
01/09/2021,The Beatles,0.0004502777777777778
01/09/2021,The Who,0.03901944444444445
01/09/2021,Led Zeppelin,0.0010427777777777779
01/09/2021,The Beatles,0.0006636111111111111
01/09/2021,AC/DC,0.0005983333333333333
01/09/2021,AC/DC,0.000568888888888889
01/09/2021,AC/DC,0.0005391666666666666
01/09/2021,AC/DC,0.0004975
