data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-08,01/08/2021,"Paint It, Black (The Rolling Stones)",998,0.016633333333333333,0.0002772222222222222
2021-01-08,01/08/2021,Jesus Is On The Main Line (Aerosmith),11145,0.18575,0.0030958333333333332
2021-01-08,01/08/2021,Let It Be     2009 (The Beatles),1393,0.023216666666666667,0.0003869444444444444
2021-01-08,01/08/2021,"Paint It, Black (The Rolling Stones)",202266,3.3711,0.056185000000000006
2021-01-08,01/08/2021,Shoot to Thrill (AC/DC),606700,10.111666666666666,0.16852777777777778
2021-01-08,01/08/2021,Love Me Do     2009 (The Beatles),6456,0.1076,0.0017933333333333334
2021-01-08,01/08/2021,Babe I'm Gonna Leave You     (Led Zeppelin),402920,6.715333333333334,0.11192222222222223
2021-01-08,01/08/2021,Peace Of Mind (Black Sabbath),220760,3.679333333333333,0.061322222222222215
2021-01-08,01/08/2021,Starman   2012   (David Bowie),254293,4.238216666666666,0.07063694444444443
2021-01-08,01/08/2021,Somebody To Love     2011 (Queen),152677,2.5446166666666667,0.042410277777777776
2021-01-08,01/08/2021,Dog Eat Dog (AC/DC),214853,3.5808833333333334,0.05968138888888889
2021-01-08,01/08/2021,Streets Of Love     2009 (The Rolling Stones),309306,5.1551,0.08591833333333333
2021-01-08,01/08/2021,Loner (Black Sabbath),299933,4.998883333333334,0.08331472222222222
2021-01-08,01/08/2021,Crazy Little Thing Called Love     2011 (Queen),163373,2.7228833333333333,0.04538138888888889
2021-01-08,01/08/2021,Somebody To Love     2011 (Queen),296480,4.941333333333334,0.08235555555555556
2021-01-08,01/08/2021,"Running On Faith   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",358615,5.976916666666667,0.09961527777777777
2021-01-08,01/08/2021,Somebody To Love     2011 (Queen),3877,0.06461666666666667,0.0010769444444444444
2021-01-09,01/09/2021,Shoot to Thrill (AC/DC),277141,4.619016666666667,0.07698361111111111
2021-01-09,01/09/2021,Touch Too Much (AC/DC),2389,0.03981666666666667,0.0006636111111111111
2021-01-09,01/09/2021,Big Gun (AC/DC),63317,1.0552833333333334,0.017588055555555555
2021-01-09,01/09/2021,Rock N Roll Train (AC/DC),261506,4.358433333333333,0.07264055555555556
2021-01-09,01/09/2021,Gone Shootin' (AC/DC),305586,5.0931,0.084885
2021-01-09,01/09/2021,Harlem Shuffle     2009 (The Rolling Stones),12365,0.20608333333333334,0.0034347222222222223
2021-01-09,01/09/2021,Who Are You (The Who),381626,6.360433333333333,0.10600722222222221
2021-01-09,01/09/2021,Are You Ready (AC/DC),250333,4.1722166666666665,0.06953694444444444
2021-01-09,01/09/2021,Highway to Hell (AC/DC),208400,3.473333333333333,0.057888888888888886
2021-01-09,01/09/2021,"Nobody Knows You When You're Down and Out   Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013   (Eric Clapton)",235426,3.923766666666667,0.06539611111111111
2021-01-09,01/09/2021,Still Loving You (Scorpions),403453,6.724216666666667,0.11207027777777778
2021-01-09,01/09/2021,Somebody To Love     2011 (Queen),296480,4.941333333333334,0.08235555555555556
2021-01-09,01/09/2021,Behind Blue Eyes (The Who),2816,0.046933333333333334,0.0007822222222222222
2021-01-09,01/09/2021,Borrowed Time (AC/DC),6997,0.11661666666666666,0.001943611111111111
2021-01-09,01/09/2021,Borrowed Time (AC/DC),5034,0.0839,0.0013983333333333335
2021-01-09,01/09/2021,Fortunate Son (Creedence Clearwater Revival),34357,0.5726166666666667,0.00954361111111111
